Sexo;Sección;Nacionalidad;Total
Ambos Sexos;3300203004;Senegal;0
Ambos Sexos;3300203004;Total América;11
Ambos Sexos;3300203004;Argentina;0
Ambos Sexos;3300203004;Bolivia;0
Ambos Sexos;3300203004;Brasil;2
Ambos Sexos;3300203004;Chile;1
Ambos Sexos;3300203004;Colombia;2
Ambos Sexos;3300203004;Cuba;1
Ambos Sexos;3300203004;Ecuador;0
Ambos Sexos;3300203004;Paraguay;1
Ambos Sexos;3300203004;Perú;2
Ambos Sexos;3300203004;República Dominicana;1
Ambos Sexos;3300203004;Uruguay;0
Ambos Sexos;3300203004;Venezuela;0
Ambos Sexos;3300203004;Total Asia;0
Ambos Sexos;3300203004;China;0
Ambos Sexos;3300203004;Pakistán;0
Ambos Sexos;3300203004;Oceanía y Apátridas;0
Ambos Sexos;3300203006;Total Población;1.091
Ambos Sexos;3300203006;Españoles;1.056
Ambos Sexos;3300203006;Total Extranjeros;35
Ambos Sexos;3300203006;Total Unión Europea;22
Ambos Sexos;3300203006;Alemania;0
Ambos Sexos;3300203006;Bulgaria;3
Ambos Sexos;3300203006;Francia;0
Ambos Sexos;3300203006;Italia;1
Ambos Sexos;3300203006;Polonia;5
Ambos Sexos;3300203006;Portugal;6
Ambos Sexos;3300203006;Rumanía;2
Ambos Sexos;3300203006;Total Resto de Europa;1
Ambos Sexos;3300203006;Reino Unido;0
Ambos Sexos;3300203006;Rusia;0
Ambos Sexos;3300203006;Ucrania;0
Ambos Sexos;3300203006;Total África;2
Ambos Sexos;3300203006;Argelia;0
Ambos Sexos;3300203006;Marruecos;1
Ambos Sexos;3300203006;Nigeria;0
Ambos Sexos;3300203006;Senegal;0
Ambos Sexos;3300203006;Total América;10
Ambos Sexos;3300203006;Argentina;1
Ambos Sexos;3300203006;Bolivia;0
Ambos Sexos;3300203006;Brasil;4
Ambos Sexos;3300203006;Chile;0
Ambos Sexos;3300203006;Colombia;2
Ambos Sexos;3300203006;Cuba;1
Ambos Sexos;3300203006;Ecuador;0
Ambos Sexos;3300203006;Paraguay;0
Ambos Sexos;3300203006;Perú;0
Ambos Sexos;3300203006;República Dominicana;0
Ambos Sexos;3300203006;Uruguay;0
Ambos Sexos;3300203006;Venezuela;1
Ambos Sexos;3300203006;Total Asia;0
Ambos Sexos;3300203006;China;0
Ambos Sexos;3300203006;Pakistán;0
Ambos Sexos;3300203006;Oceanía y Apátridas;0
Ambos Sexos;3300301001;Total Población;603
Ambos Sexos;3300301001;Españoles;585
Ambos Sexos;3300301001;Total Extranjeros;18
Ambos Sexos;3300301001;Total Unión Europea;6
Ambos Sexos;3300301001;Alemania;0
Ambos Sexos;3300301001;Bulgaria;0
Ambos Sexos;3300301001;Francia;0
Ambos Sexos;3300301001;Italia;0
Ambos Sexos;3300301001;Polonia;0
Ambos Sexos;3300301001;Portugal;0
Ambos Sexos;3300301001;Rumanía;5
Ambos Sexos;3300301001;Total Resto de Europa;6
Ambos Sexos;3300301001;Reino Unido;6
Ambos Sexos;3300301001;Rusia;0
Ambos Sexos;3300301001;Ucrania;0
Ambos Sexos;3300301001;Total África;0
Ambos Sexos;3300301001;Argelia;0
Ambos Sexos;3300301001;Marruecos;0
Ambos Sexos;3300301001;Nigeria;0
Ambos Sexos;3300301001;Senegal;0
Ambos Sexos;3300301001;Total América;6
Ambos Sexos;3300301001;Argentina;1
Ambos Sexos;3300301001;Bolivia;0
Ambos Sexos;3300301001;Brasil;0
Ambos Sexos;3300301001;Chile;0
Ambos Sexos;3300301001;Colombia;0
Ambos Sexos;3300301001;Cuba;3
Ambos Sexos;3300301001;Ecuador;0
Ambos Sexos;3300301001;Paraguay;0
Ambos Sexos;3300301001;Perú;0
Ambos Sexos;3300301001;República Dominicana;0
Ambos Sexos;3300301001;Uruguay;0
Ambos Sexos;3300301001;Venezuela;2
Ambos Sexos;3300301001;Total Asia;0
Ambos Sexos;3300301001;China;0
Ambos Sexos;3300301001;Pakistán;0
Ambos Sexos;3300301001;Oceanía y Apátridas;0
Ambos Sexos;3300401001;Total Población;816
Ambos Sexos;3300401001;Españoles;712
Ambos Sexos;3300401001;Total Extranjeros;104
Ambos Sexos;3300401001;Total Unión Europea;12
Ambos Sexos;3300401001;Alemania;1
Ambos Sexos;3300401001;Bulgaria;2
Ambos Sexos;3300401001;Francia;0
Ambos Sexos;3300401001;Italia;4
Ambos Sexos;3300401001;Polonia;0
Ambos Sexos;3300401001;Portugal;0
Ambos Sexos;3300401001;Rumanía;1
Ambos Sexos;3300401001;Total Resto de Europa;5
Ambos Sexos;3300401001;Reino Unido;1
Ambos Sexos;3300401001;Rusia;0
Ambos Sexos;3300401001;Ucrania;0
Ambos Sexos;3300401001;Total África;13
Ambos Sexos;3300401001;Argelia;2
Ambos Sexos;3300401001;Marruecos;7
Ambos Sexos;3300401001;Nigeria;0
Ambos Sexos;3300401001;Senegal;3
Ambos Sexos;3300401001;Total América;55
Ambos Sexos;3300401001;Argentina;3
Ambos Sexos;3300401001;Bolivia;0
Ambos Sexos;3300401001;Brasil;4
